Lat,Long,Text
,,"<strong>Day 8</strong>: Friday, May 23<br><strong>City</strong>: Regina, Saskatchewan<br><strong>Start:</strong> tbd"
,,<strong>Complete</strong>: 0k<br><strong>Remaining</strong>: 42k<br><strong>ETA</strong>: 07:00
,,<strong>Complete</strong>: 5k<br><strong>Remaining</strong>: 37k<br><strong>ETA</strong>: 07:32
,,<strong>Complete</strong>: 10k<br><strong>Remaining</strong>: 32k<br><strong>ETA</strong>: 08:04
,,<strong>Complete</strong>: 21k<br><strong>Remaining</strong>: 21k<br><strong>ETA</strong>: 09:15
,,<strong>Complete</strong>: 32k<br><strong>Remaining</strong>: 10k<br><strong>ETA</strong>: 10:25
,,<strong>Complete</strong>: 37k<br><strong>Remaining</strong>: 5k<br><strong>ETA</strong>: 10:57
,,"<strong>Day 9</strong>: Saturday, May 24<br><strong>City</strong>: Vancouver, BC<br><strong>Start:</strong> tbd"
,,<strong>Complete</strong>: 0k<br><strong>Remaining</strong>: 42k<br><strong>ETA</strong>: 07:00
,,<strong>Complete</strong>: 5k<br><strong>Remaining</strong>: 37k<br><strong>ETA</strong>: 07:32
,,<strong>Complete</strong>: 10k<br><strong>Remaining</strong>: 32k<br><strong>ETA</strong>: 08:04
,,<strong>Complete</strong>: 21k<br><strong>Remaining</strong>: 21k<br><strong>ETA</strong>: 09:15
,,<strong>Complete</strong>: 32k<br><strong>Remaining</strong>: 10k<br><strong>ETA</strong>: 10:25
,,<strong>Complete</strong>: 37k<br><strong>Remaining</strong>: 5k<br><strong>ETA</strong>: 10:57
,,"<strong>Day 10</strong>: Sunday, May 25<br><strong>City</strong>: Calgary, Alberta<br><strong>Start:</strong> tbd"
,,<strong>Complete</strong>: 0k<br><strong>Remaining</strong>: 42k<br><strong>ETA</strong>: 07:00
,,<strong>Complete</strong>: 5k<br><strong>Remaining</strong>: 37k<br><strong>ETA</strong>: 07:32
,,<strong>Complete</strong>: 10k<br><strong>Remaining</strong>: 32k<br><strong>ETA</strong>: 08:04
,,<strong>Complete</strong>: 21k<br><strong>Remaining</strong>: 21k<br><strong>ETA</strong>: 09:15
,,<strong>Complete</strong>: 32k<br><strong>Remaining</strong>: 10k<br><strong>ETA</strong>: 10:25
,,<strong>Complete</strong>: 37k<br><strong>Remaining</strong>: 5k<br><strong>ETA</strong>: 10:57
